number,ini_velX,ini_velY,ini_velZ,ini_posX,ini_posY,ini_posZ,trialID,_isCorrect,ponPosX,ponPosY,ponPosZ,timeSinceEngineStart,camID,camShelf_h,camShelf_num,camPosX,camPosY,camPosZ,1targetX,1targetX,1targetX,1targetX,1targetX,1targetX,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2661.104,-16946.1,3.804212,2.841173,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2635.606,-16971.81,3.804212,2.859877,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2610.108,-16998.24,3.804212,2.878868,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2584.61,-17025.39,3.804212,2.901467,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2533.615,-17081.82,3.804212,2.919932,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2533.615,-17081.82,3.804212,2.938943,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2508.117,-17111.11,3.804212,2.957193,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2482.619,-17141.11,3.804212,2.975497,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2457.121,-17171.82,3.804212,2.99448,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2431.624,-17203.26,3.804212,3.013184,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2406.125,-17235.4,3.804212,3.034579,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2380.628,-17268.26,3.804212,3.059178,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2355.13,-17301.83,3.804212,3.096853,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2304.134,-17371.12,3.804212,3.116373,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2278.636,-17406.83,3.804212,3.135211,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2253.139,-17443.27,3.804212,3.154335,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2227.641,-17480.41,3.804212,3.173374,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2202.143,-17518.27,3.804212,3.192534,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2176.645,-17556.84,3.804212,3.211448,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
